Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Outerwear,Blazers & Vests,Materials,Crepe,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Crepe&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Denim,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Denim&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Felt,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Felt&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Jersey,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Jersey&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Lace,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Lace&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Linen,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Linen&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Twill,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Twill&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Velour,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Velour&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Materials,Wool,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=materials:Wool&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Checked,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Checked&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Herringbone-Patterned,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Herringbone-patterned&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Houndstooth,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Houndstooth&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Leopard-Print,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Leopard-print&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Pinstriped,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Pinstriped&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Solid-Color,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Solid-color&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Patterns,Striped,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=patterns:Striped&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,NecklineStyles,Round Neck,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=necklineStyles:Round Neck&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,NecklineStyles,V-Neck,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=necklineStyles:V-neck&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
