Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Bottomwear,Pants,Review Score,4 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=4&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,Review Score,3 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,Review Score,2 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,Review Score,1 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,size,Regular,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,size,Tall,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,size,Petite,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,Occasion,Casual,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&occasion=2035&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,Occasion,Work,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&occasion=2037&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Pants,Occasion,Utility,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=67595&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&occasion=197865602&vendor=Certona&trackingid=309892845958361
