Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Counts
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Animal+print%22&locale=en_US&pageNumber=2&pageSize=96,Color,Animal print,70
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Black%22&locale=en_US&pageNumber=2&pageSize=96,Color,Black,2096
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Blue%22&locale=en_US&pageNumber=2&pageSize=96,Color,Blue,1193
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Brown%22&locale=en_US&pageNumber=2&pageSize=96,Color,Brown,229
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Burgundy%22&locale=en_US&pageNumber=2&pageSize=96,Color,Burgundy,93
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Gray%22&locale=en_US&pageNumber=2&pageSize=96,Color,Gray,154
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Green%22&locale=en_US&pageNumber=2&pageSize=96,Color,Green,707
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Metallic%22&locale=en_US&pageNumber=2&pageSize=96,Color,Metallic,147
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Multicolor%22&locale=en_US&pageNumber=2&pageSize=96,Color,Multicolor,127
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Neutral%22&locale=en_US&pageNumber=2&pageSize=96,Color,Neutral,239
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fdresses&facet=ads_f12501_ntk_cs%3A%22Orange%22&locale=en_US&pageNumber=2&pageSize=96,Color,Orange,378
