Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Black""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Black
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Multi""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Multi
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Beige""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Beige
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Brown""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Brown
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Blue""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Blue
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""White""%5D%5D&sort_by=relevance&category_id=193284079749",Color,White
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Animal Print""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Animal Print
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Pink""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Pink
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Purple""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Purple
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Green""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Green
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Orange""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Orange
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,"https://api.fastsimon.com/categories_navigation?page_num=2&products_per_page=60&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Red""%5D%5D&sort_by=relevance&category_id=193284079749",Color,Red
