Display_Title,Item_Url,Original_Price,Selling_Price,Native_Product_Id,Brand,Category,Subcategory1,Subcategory2,Subcategory3,Product_Category,Referrer_Url
Gale Mini Dress,https://www.revolve.com/majorelle-gale-mini-dress-in-white/dp/MALR-WD1099/,168,168,MALR-WD1099,MAJORELLE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Drop Shoulder Sleeveless Dress,https://www.revolve.com/norma-kamali-drop-shoulder-sleeveless-dress-in-black/dp/NKAM-WD143/,100,94,NKAM-WD143,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Cory Bandeau Dress,https://www.revolve.com/poupette-st-barth-cory-bandeau-dress-in-pink-macro-lilium/dp/PSTB-WD293/,320,320,PSTB-WD293,Poupette St Barth,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Lani Draped Cross Back Midi Dress,https://www.revolve.com/shona-joy-lani-draped-cross-back-midi-dress-in-black/dp/SHON-WD581/,360,94,SHON-WD581,Shona Joy,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Carley Midi Dress,https://www.revolve.com/tularosa-carley-midi-dress-in-oatmeal/dp/TULA-WD1584/,218,218,TULA-WD1584,Tularosa,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Sunny Mini Dress,https://www.revolve.com/michael-costello-x-revolve-sunny-mini-dress-in-lilac-floral/dp/MELR-WD294/,248,248,MELR-WD294,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Treasure Dress,https://www.revolve.com/amanda-uprichard-treasure-dress-in-black/dp/AMAN-WD2234/,246,246,AMAN-WD2234,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Kennedy Mini Dress,https://www.revolve.com/amur-kennedy-mini-dress-in-jupiter/dp/UAMR-WD225/,448,448,UAMR-WD225,AMUR,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Belen Dress,https://www.revolve.com/steve-madden-belen-dress-in-cocoa/dp/SMAD-WD226/,99,70,SMAD-WD226,Steve Madden,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Liv Dress,https://www.revolve.com/misa-los-angeles-liv-dress-in-digital-ombre/dp/MISA-WD810/,370,370,MISA-WD810,MISA Los Angeles,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Frankie Midi Dress,https://www.revolve.com/stone-cold-fox-x-revolve-frankie-midi-dress-in-black-white-dot/dp/SCOL-WD219/,268,252,SCOL-WD219,Stone Cold Fox,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Florine Mini Dress,https://www.revolve.com/superdown-florine-mini-dress-in-white/dp/SPDW-WD2718/,74,52,SPDW-WD2718,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Bias Strapless Gown,https://www.revolve.com/norma-kamali-bias-strapless-gown-in-black/dp/NKAM-WD613/,350,245,NKAM-WD613,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Talit Draped Front Mini Dress,https://www.revolve.com/simkhai-talit-draped-front-mini-dress-in-acai/dp/JSKI-WD455/,495,495,JSKI-WD455,SIMKHAI,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Krista Gown,https://www.revolve.com/house-of-harlow-1960-x-revolve-krista-gown-in-pewter-grey/dp/HOOF-WD1024/,298,179,HOOF-WD1024,House of Harlow 1960,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Rosa Handkerchief Slip Dress,https://www.revolve.com/alice-olivia-rosa-handkerchief-slip-dress-in-off-white-black/dp/ALI-WD1094/,495,278,ALI-WD1094,Alice + Olivia,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Sierra Crochet Dress,https://www.revolve.com/lovers-and-friends-sierra-crochet-dress-in-multi/dp/LOVF-WD3898/,178,178,LOVF-WD3898,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Barcelona Dress,https://www.revolve.com/sndys-x-revolve-barcelona-dress-in-burgundy/dp/SDYS-WD253/,67,67,SDYS-WD253,SNDYS,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Avalee Gown,https://www.revolve.com/majorelle-avalee-gown-in-baby-yellow/dp/MALR-WD1412/,358,337,MALR-WD1412,MAJORELLE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Josh Mini Dress,https://www.revolve.com/michael-costello-x-revolve-josh-mini-dress-in-green/dp/MELR-WD804/,238,224,MELR-WD804,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Jake Gown,https://www.revolve.com/michael-costello-jake-gown-in-taupe/dp/MELR-WD55/,198,198,MELR-WD55,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Quince Longsleeve Mini Dress,https://www.revolve.com/simkhai-quince-longsleeve-mini-dress-in-moss/dp/JSKI-WD411/,595,215,JSKI-WD411,SIMKHAI,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Martin Gown,https://www.revolve.com/michael-costello-x-revolve-martin-gown-in-black/dp/MELR-WD11/,288,288,MELR-WD11,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Bianca Dress,https://www.revolve.com/pistola-bianca-dress-in-ruby-stripe/dp/PSTL-WD32/,168,168,PSTL-WD32,PISTOLA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x Bridget Angelina Maxi Dress,https://www.revolve.com/nbd-x-bridget-angelina-maxi-dress-in-green/dp/NBDR-WD3007/,238,162,NBDR-WD3007,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Micah Dress,https://www.revolve.com/paris-georgia-micah-dress-in-white/dp/PGEO-WD12/,740,311,PGEO-WD12,Paris Georgia,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Helia Dress,https://www.revolve.com/aya-muse-helia-dress-in-white/dp/AYAR-WD96/,785,785,AYAR-WD96,Aya Muse,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Hampstead Midi Dress,https://www.revolve.com/acler-hampstead-midi-dress-in-black-ivory/dp/CELR-WD87/,650,455,CELR-WD87,Acler,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Soiree Mini Dress,https://www.revolve.com/amanda-uprichard-soiree-mini-dress-in-black-ivory/dp/AMAN-WD2259/,260,260,AMAN-WD2259,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Dalton Dress,https://www.revolve.com/line-dot-dalton-dress-in-chocolate/dp/LEAX-WD509/,125,125,LEAX-WD509,Line & Dot,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Beaded Halter Neck Dress,https://www.revolve.com/rotate-beaded-halter-neck-dress-in-egret/dp/TATE-WD47/,450,270,TATE-WD47,ROTATE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Zuwa Dress,https://www.revolve.com/yaura-zuwa-dress-in-yellow/dp/YAUR-WD48/,340,269,YAUR-WD48,YAURA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Marea Mini Dress,https://www.revolve.com/baobab-marea-mini-dress-in-pistachio/dp/BBAB-WD8/,220,176,BBAB-WD8,Baobab,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Alissa Detail Maxi Dress,https://www.revolve.com/vix-swimwear-alissa-detail-maxi-dress-in-red/dp/VIXS-WD187/,328,328,VIXS-WD187,Vix Swimwear,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Zoya Mini Dress,https://www.revolve.com/nicholas-zoya-mini-dress-in-rhea-black-palm/dp/NHOX-WD498/,445,312,NHOX-WD498,NICHOLAS,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Guiliana Gown,https://www.revolve.com/michael-costello-x-revolve-guiliana-gown-in-ivory/dp/MELR-WD1011/,438,412,MELR-WD1011,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Wendell Dress,https://www.revolve.com/amanda-uprichard-wendell-dress-in-ivory/dp/AMAN-WD2073/,255,69,AMAN-WD2073,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Spring Affair Dress,https://www.revolve.com/zhivago-spring-affair-dress-in-black/dp/ZHIR-WD335/,550,550,ZHIR-WD335,Zhivago,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Sirena Mini Dress,https://www.revolve.com/lovers-and-friends-sirena-mini-dress-in-purple-multi/dp/LOVF-WD3861/,238,224,LOVF-WD3861,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Tamra Mini Dress,https://www.revolve.com/superdown-tamra-mini-dress-in-black/dp/SPDW-WD2626/,68,34,SPDW-WD2626,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Paloma Mini Dress,https://www.revolve.com/bond-eye-paloma-mini-dress-in-butter-two-tone/dp/BONR-WD11/,220,220,BONR-WD11,Bond Eye,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
