Display_Title,Item_Url,Original_Price,Selling_Price,Native_Product_Id,Brand,Category,Subcategory1,Subcategory2,Subcategory3,Product_Category,Referrer_Url
Bella Gown,https://www.revolve.com/lovers-and-friends-bella-gown-in-baby-blue/dp/LOVF-WD4051/,258,176,LOVF-WD4051,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Cleo Gown,https://www.revolve.com/lovers-and-friends-cleo-gown-in-chocolate-brown/dp/LOVF-WD4264/,288,288,LOVF-WD4264,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Trompe Dress,https://www.revolve.com/elliatt-trompe-dress-in-pink/dp/ELLI-WD668/,200,200,ELLI-WD668,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Seina Midi Dress,https://www.revolve.com/lpa-seina-midi-dress-in-natural-linen/dp/LPAR-WD820/,268,268,LPAR-WD820,LPA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Megan Mini Dress,https://www.revolve.com/bronx-and-banco-megan-mini-dress-in-rose/dp/BROR-WD262/,480,480,BROR-WD262,Bronx and Banco,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x Rachel Lilium Gown,https://www.revolve.com/lovers-and-friends-x-rachel-lilium-gown-in-beige-neutral/dp/LOVF-WD3827/,328,230,LOVF-WD3827,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Strapless Bill Pickleball With Bow,https://www.revolve.com/norma-kamali-strapless-bill-pickleball-with-bow-in-tiger-red-snow-white/dp/NKAM-WD532/,395,395,NKAM-WD532,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
by Marianna Simone Mini Dress,https://www.revolve.com/lacademie-by-marianna-simone-mini-dress-in-ivory/dp/LCDE-WD883/,228,135,LCDE-WD883,L'Academie,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x FP Movement Swing Of Things Dress,https://www.revolve.com/free-people-x-fp-movement-swing-of-things-dress-in-skyline/dp/FREE-WD2961/,128,128,FREE-WD2961,Free People,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Outlaw Dress,https://www.revolve.com/show-me-your-mumu-outlaw-dress-in-tide/dp/SHOW-WD438/,165,165,SHOW-WD438,Show Me Your Mumu,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
X REVOLVE Bustier Gown,https://www.revolve.com/for-love-lemons-x-revolve-bustier-gown-in-black/dp/FORL-WD845/,359,359,FORL-WD845,For Love & Lemons,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Samira Mini Dress,https://www.revolve.com/for-love-lemons-samira-mini-dress-in-white/dp/FORL-WD867/,194,194,FORL-WD867,For Love & Lemons,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Paula Drape Mini Dress,https://www.revolve.com/superdown-paula-drape-mini-dress-in-red/dp/SPDW-WD1324/,110,110,SPDW-WD1324,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Boss Lady Dress,https://www.revolve.com/katie-may-boss-lady-dress-in-pink-peacock/dp/KATR-WD120/,285,285,KATR-WD120,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Surreal Gown,https://www.revolve.com/katie-may-surreal-gown-in-black/dp/KATR-WD42/,250,250,KATR-WD42,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
X REVOLVE Gwenyth Dress,https://www.revolve.com/elliatt-x-revolve-gwenyth-dress-in-orchid/dp/ELLI-WD395/,207,207,ELLI-WD395,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Tino Gown,https://www.revolve.com/likely-tino-gown-in-sweet-turquoise/dp/LIKR-WD829/,398,398,LIKR-WD829,LIKELY,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Melissa Gown,https://www.revolve.com/lovers-and-friends-melissa-gown-in-magenta/dp/LOVF-WD1753/,298,298,LOVF-WD1753,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Chamberlain Maxi Dress,https://www.revolve.com/amanda-uprichard-x-revolve-chamberlain-maxi-dress-in-pacific/dp/AMAN-WD2090/,273,257,AMAN-WD2090,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Nova Maxi Dress,https://www.revolve.com/camila-coelho-nova-maxi-dress-in-black/dp/COEL-WD473/,238,238,COEL-WD473,Camila Coelho,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mallory High Neck Dress,https://www.revolve.com/superdown-mallory-high-neck-dress-in-hot-pink/dp/SPDW-WD1686/,88,88,SPDW-WD1686,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Tina Gown,https://www.revolve.com/katie-may-tina-gown-in-lilac/dp/KATR-WD419/,295,278,KATR-WD419,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Strapless Fishtail Dress,https://www.revolve.com/norma-kamali-strapless-fishtail-dress-in-black/dp/NKAM-WD204/,225,225,NKAM-WD204,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mary Kate Gown,https://www.revolve.com/katie-may-mary-kate-gown-in-sage/dp/KATR-WD199/,295,295,KATR-WD199,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Cassie Mini Dress,https://www.revolve.com/nadine-merabi-cassie-mini-dress-in-orange-pink-ombre/dp/NADR-WD1/,695,487,NADR-WD1,Nadine Merabi,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Surreal Gown,https://www.revolve.com/katie-may-surreal-gown-in-sangria/dp/KATR-WD162/,250,250,KATR-WD162,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Diana Fishtail Gown,https://www.revolve.com/norma-kamali-diana-fishtail-gown-in-black-mesh-nude/dp/NKAM-WD430/,495,495,NKAM-WD430,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Beeba Dress,https://www.revolve.com/amanda-uprichard-x-revolve-beeba-dress-in-crimson-shocking-pink/dp/AMAN-WD1740/,216,216,AMAN-WD1740,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Astrid Oxford Mini Dress,https://www.revolve.com/free-people-astrid-oxford-mini-dress-in-banana-cream/dp/FREE-WD2929/,108,108,FREE-WD2929,Free People,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Perri Dress,https://www.revolve.com/poster-girl-perri-dress-in-harlot-pink/dp/PGIR-WD57/,120,84,PGIR-WD57,Poster Girl,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Generosity Dress,https://www.revolve.com/michael-costello-x-revolve-generosity-dress-in-purple/dp/MELR-WD811/,288,288,MELR-WD811,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Kristen Halter Mini Dress,https://www.revolve.com/more-to-come-kristen-halter-mini-dress-in-chartreuse/dp/MOTO-WD104/,84,84,MOTO-WD104,MORE TO COME,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Kira Maxi Dress,https://www.revolve.com/line-dot-kira-maxi-dress-in-tomato-red/dp/LEAX-WD413/,120,120,LEAX-WD413,Line & Dot,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Renaissance Split Gown,https://www.revolve.com/lidee-renaissance-split-gown-in-light-pink/dp/LIDR-WD3/,395,395,LIDR-WD3,L'IDEE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Zayla Mini Dress,https://www.revolve.com/elliatt-zayla-mini-dress-in-ivory-nude/dp/ELLI-WD662/,410,410,ELLI-WD662,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Focus Pleat Smock Mini Dress,https://www.revolve.com/sovere-focus-pleat-smock-mini-dress-in-powder-blue/dp/SOVR-WD1/,189,189,SOVR-WD1,SOVERE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Juliet Midi Dress,https://www.revolve.com/superdown-juliet-midi-dress-in-black/dp/SPDW-WD2455/,88,88,SPDW-WD2455,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Annalise Dress,https://www.revolve.com/amanda-uprichard-annalise-dress-in-white/dp/AMAN-WD919/,202,202,AMAN-WD919,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Suki Dress,https://www.revolve.com/lovers-and-friends-suki-dress-in-rust/dp/LOVF-WD2873/,188,177,LOVF-WD2873,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Odessa Gown,https://www.revolve.com/lovers-and-friends-odessa-gown-in-espresso-brown/dp/LOVF-WD2802/,190,190,LOVF-WD2802,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Starfish Dress,https://www.revolve.com/leslie-amon-starfish-dress-in-blue/dp/LAMO-WD28/,487,487,LAMO-WD28,Leslie Amon,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Bea Gown,https://www.revolve.com/likely-bea-gown-in-navy/dp/LIKR-WD820/,398,398,LIKR-WD820,LIKELY,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Sicilia Ruffle Dress,https://www.revolve.com/bronx-and-banco-sicilia-ruffle-dress-in-multi/dp/BROR-WD59/,368,368,BROR-WD59,Bronx and Banco,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Margo Gown,https://www.revolve.com/lovers-and-friends-margo-gown-in-light-blush-neutral/dp/LOVF-WD3970/,348,348,LOVF-WD3970,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Gala Midi Dress,https://www.revolve.com/lidee-gala-midi-dress-in-bright-green/dp/LIDR-WD10/,395,395,LIDR-WD10,L'IDEE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Astrid Dress,https://www.revolve.com/elliatt-astrid-dress-in-multi/dp/ELLI-WD344/,251,251,ELLI-WD344,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Jolene Gown,https://www.revolve.com/deme-by-gabriella-jolene-gown-in-off-white/dp/DEBY-WD9/,350,350,DEBY-WD9,Deme by Gabriella,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Jasmine Halter Mini Dress,https://www.revolve.com/show-me-your-mumu-jasmine-halter-mini-dress-in-pink-luxe/dp/SHOW-WD564/,148,148,SHOW-WD564,Show Me Your Mumu,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Walter Mini Dress,https://www.revolve.com/norma-kamali-walter-mini-dress-in-candy-pink/dp/NKAM-WD433/,225,225,NKAM-WD433,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Alice Strapless Gown,https://www.revolve.com/lovers-and-friends-alice-strapless-gown-in-black/dp/LOVF-WD3938/,328,328,LOVF-WD3938,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Nia Jersey Knit Gold Buckle Dress,https://www.revolve.com/4th-reckless-nia-jersey-knit-gold-buckle-dress-in-brown/dp/4THR-WD11/,85,85,4THR-WD11,4th & Reckless,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Akaia Dress,https://www.revolve.com/cult-gaia-akaia-dress-in-black/dp/CULG-WD276/,398,398,CULG-WD276,Cult Gaia,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Veneda Skirt Set,https://www.revolve.com/superdown-veneda-skirt-set-in-red/dp/SPDW-WD2584/,88,88,SPDW-WD2584,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Lana Maxi Dress,https://www.revolve.com/significant-other-lana-maxi-dress-in-butter/dp/SIGR-WD255/,266,266,SIGR-WD255,Significant Other,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Paloma Strapless Dress,https://www.revolve.com/more-to-come-paloma-strapless-dress-in-red/dp/MOTO-WD479/,78,78,MOTO-WD479,MORE TO COME,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Chasing Dawn Gown,https://www.revolve.com/katie-may-chasing-dawn-gown-in-pink-daisy/dp/KATR-WD193/,335,335,KATR-WD193,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Alaric Mini Dress,https://www.revolve.com/hours-alaric-mini-dress-in-black/dp/HURR-WD482/,158,158,HURR-WD482,h:ours,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Luna Gown,https://www.revolve.com/nbd-luna-gown-in-baby-blue/dp/NBDR-WD2427/,278,278,NBDR-WD2427,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Chiara Mini Dress,https://www.revolve.com/majorelle-chiara-mini-dress-in-ballet-pink/dp/MALR-WD1439/,228,228,MALR-WD1439,MAJORELLE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Barcelona Dress,https://www.revolve.com/lspace-barcelona-dress-in-cream/dp/LSPA-WD74/,161,161,LSPA-WD74,LSPACE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Salma Gown,https://www.revolve.com/majorelle-salma-gown-in-black/dp/MALR-WD1436/,288,288,MALR-WD1436,MAJORELLE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Tori Dress,https://www.revolve.com/nia-tori-dress-in-white/dp/NIAR-WD36/,118,118,NIAR-WD36,NIA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Lia Mini Dress,https://www.revolve.com/more-to-come-lia-mini-dress-in-light-blue/dp/MOTO-WD311/,92,92,MOTO-WD311,MORE TO COME,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Capulet Midi Dress,https://www.revolve.com/v-chapman-capulet-midi-dress-in-white-chantilly-lace/dp/VCHP-WD134/,625,625,VCHP-WD134,V. Chapman,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Asher Strapless Dress,https://www.revolve.com/superdown-asher-strapless-dress-in-pink/dp/SPDW-WD1374/,88,88,SPDW-WD1374,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Grace Mini Dress,https://www.revolve.com/majorelle-grace-mini-dress-in-pink-baybreeze/dp/MALR-WD385/,178,178,MALR-WD385,MAJORELLE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mona Maxi Dress,https://www.revolve.com/lpa-mona-maxi-dress-in-concrete/dp/LPAR-WD808/,258,258,LPAR-WD808,LPA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
X REVOLVE Pippa Dress,https://www.revolve.com/elliatt-x-revolve-pippa-dress-in-nude/dp/ELLI-WD325/,219,219,ELLI-WD325,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Surreal Dress,https://www.revolve.com/katie-may-surreal-dress-in-deep-sea/dp/KATR-WD61/,250,250,KATR-WD61,Katie May,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Romance Ruffle Dress,https://www.revolve.com/show-me-your-mumu-romance-ruffle-dress-in-ivory-botanical-floral/dp/SHOW-WD642/,248,248,SHOW-WD642,Show Me Your Mumu,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Elder Dress,https://www.revolve.com/elliatt-elder-dress-in-white/dp/ELLI-WD493/,239,239,ELLI-WD493,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Christi Maxi Dress,https://www.revolve.com/lovers-and-friends-christi-maxi-dress-in-butter-yellow/dp/LOVF-WD4378/,199,199,LOVF-WD4378,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Skyler Dress,https://www.revolve.com/ow-collection-skyler-dress-in-black-caviar/dp/OWIR-WD28/,130,130,OWIR-WD28,OW Collection,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Estrada Dress,https://www.revolve.com/amanda-uprichard-estrada-dress-in-calabria-print/dp/AMAN-WD2267/,295,295,AMAN-WD2267,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Strapless Fishtail Gown,https://www.revolve.com/norma-kamali-x-revolve-strapless-fishtail-gown-in-orchid-pink/dp/NKAM-WD230/,300,300,NKAM-WD230,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Gianna Sweetheart Slit Gown,https://www.revolve.com/superdown-gianna-sweetheart-slit-gown-in-black/dp/SPDW-WD2096/,98,98,SPDW-WD2096,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Anthea Dress,https://www.revolve.com/elliatt-anthea-dress-in-multi/dp/ELLI-WD696/,355,355,ELLI-WD696,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Aliyah Dress,https://www.revolve.com/bardot-aliyah-dress-in-chocolate/dp/BARD-WD468/,109,109,BARD-WD468,Bardot,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Dunmore Dress,https://www.revolve.com/elliatt-dunmore-dress-in-multi/dp/ELLI-WD490/,280,280,ELLI-WD490,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Roxanne Mini Dress,https://www.revolve.com/nbd-roxanne-mini-dress-in-lilac/dp/NBDR-WD1739/,233,233,NBDR-WD1739,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Elaine Midi Dress,https://www.revolve.com/majorelle-elaine-midi-dress-in-pink-baybreeze/dp/MALR-WD384/,188,188,MALR-WD384,MAJORELLE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mesh Wrap Gown,https://www.revolve.com/kim-shui-mesh-wrap-gown-in-green/dp/KIMR-WD28/,400,400,KIMR-WD28,Kim Shui,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Cass Coverup,https://www.revolve.com/show-me-your-mumu-cass-coverup-in-blue-sequins/dp/SHOW-WD636/,158,158,SHOW-WD636,Show Me Your Mumu,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Riley Fringe Mini Dress,https://www.revolve.com/superdown-riley-fringe-mini-dress-in-black/dp/SPDW-WD2798/,72,72,SPDW-WD2798,superdown,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mallorca Dress,https://www.revolve.com/lspace-mallorca-dress-in-cream/dp/LSPA-WD438/,158,158,LSPA-WD438,LSPACE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Diana Gown,https://www.revolve.com/norma-kamali-diana-gown-in-celadon/dp/NKAM-WD219/,275,275,NKAM-WD219,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Galleria Gown,https://www.revolve.com/lovers-and-friends-galleria-gown-in-white/dp/LOVF-WD2689/,198,198,LOVF-WD2689,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Strapless Shirred Front Fishtail Gown,https://www.revolve.com/norma-kamali-strapless-shirred-front-fishtail-gown-in-black/dp/NKAM-WD565/,350,350,NKAM-WD565,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Aylah Crochet Dress,https://www.revolve.com/house-of-harlow-1960-x-revolve-aylah-crochet-dress-in-almond/dp/HOOF-WD758/,198,198,HOOF-WD758,House of Harlow 1960,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Estella Gown,https://www.revolve.com/nookie-estella-gown-in-black/dp/NKIE-WD540/,309,309,NKIE-WD540,Nookie,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Kayce Flare Dress,https://www.revolve.com/milly-kayce-flare-dress-in-black-ecru/dp/MILL-WD1110/,395,277,MILL-WD1110,MILLY,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Millie Dress,https://www.revolve.com/sndys-x-revolve-millie-dress-in-black/dp/SDYS-WD222/,99,99,SDYS-WD222,SNDYS,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Betty Gown,https://www.revolve.com/nbd-betty-gown-in-black/dp/NBDR-WD3257/,278,278,NBDR-WD3257,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Darian Dress,https://www.revolve.com/saylor-darian-dress-in-blue/dp/SAYR-WD232/,231,231,SAYR-WD232,SAYLOR,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Halter Turtle Side Slit Gown,https://www.revolve.com/norma-kamali-halter-turtle-side-slit-gown-in-pewter/dp/NKAM-WD271/,225,225,NKAM-WD271,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x REVOLVE Lotta Dress,https://www.revolve.com/house-of-harlow-1960-x-revolve-lotta-dress-in-fuchsia/dp/HOOF-WD265/,228,228,HOOF-WD265,House of Harlow 1960,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Joni Maxi Dress,https://www.revolve.com/solace-london-joni-maxi-dress-in-black/dp/SOLA-WD176/,520,520,SOLA-WD176,SOLACE London,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Archie Mini Dress,https://www.revolve.com/amanda-uprichard-archie-mini-dress-in-kerrigan-white-tweed/dp/AMAN-WD2053/,246,232,AMAN-WD2053,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Leena Maxi Dress,https://www.revolve.com/sndys-leena-maxi-dress-in-black/dp/SDYS-WD271/,80,80,SDYS-WD271,SNDYS,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Times Dress,https://www.revolve.com/elliatt-times-dress-in-blue-multi/dp/ELLI-WD221/,279,279,ELLI-WD221,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
