Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Blue,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Blue&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Bronze,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Bronze&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Brown,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Brown&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Floral,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Floral&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Gold,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Gold&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Graphic,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Graphic&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Green,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Green&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Grey,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Grey&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Metallic,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Metallic&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Multi,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Multi&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Off White,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Off White&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Orange,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Orange&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Pink,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Pink&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
Clothing,Women,Western,Outerwear,Jackets & Coats,Color,Plaid,https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=colors-Plaid&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT
