Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Refinement,Ref_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Fit + Flare,Style,Fit + Flare,tile.product.facets.silhouettes,Fit + Flare
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Cut Out,Style,Cut Out,tile.product.facets.silhouettes,Cut Out
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Ruffle + Tiered,Style,Ruffle + Tiered,tile.product.facets.silhouettes,Ruffle + Tiered
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Asymmetrical,Style,Asymmetrical,tile.product.facets.silhouettes,Asymmetrical
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Ruched,Style,Ruched,tile.product.facets.silhouettes,Ruched
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Tie-Back,Style,Tie-Back,tile.product.facets.silhouettes,Tie-Back
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Slit,Style,Slit,tile.product.facets.silhouettes,Slit
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Bustier + Corset,Style,Bustier + Corset,tile.product.facets.silhouettes,Bustier + Corset
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Button-Down,Style,Button-Down,tile.product.facets.silhouettes,Button-Down
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Style=Wrap,Style,Wrap,tile.product.facets.silhouettes,Wrap
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=V-Neck,Neckline,V-Neck,tile.product.facets.neck,V-Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Square Neck,Neckline,Square Neck,tile.product.facets.neck,Square Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Halter,Neckline,Halter,tile.product.facets.neck,Halter
