Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Refinement,Ref_Value
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=orange,Color,Orange,visualVariants.colorwayNames,orange
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=multi,Color,Multi,visualVariants.colorwayNames,multi
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=maroon,Color,Maroon,visualVariants.colorwayNames,maroon
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=animal,Color,Animal,visualVariants.colorwayNames,animal
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=gold,Color,Gold,visualVariants.colorwayNames,gold
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=silver,Color,Silver,visualVariants.colorwayNames,silver
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=tan,Color,Tan,visualVariants.colorwayNames,tan
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=metallic,Color,Metallic,visualVariants.colorwayNames,metallic
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Color=mint,Color,Mint,visualVariants.colorwayNames,mint
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Crew Neck,Neckline,Crew Neck,tile.product.facets.neck,Crew Neck
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Hooded,Neckline,Hooded,tile.product.facets.neck,Hooded
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=V-Neck,Neckline,V-Neck,tile.product.facets.neck,V-Neck
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Collared,Neckline,Collared,tile.product.facets.neck,Collared
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Turtleneck + Mock Neck,Neckline,Turtleneck + Mock Neck,tile.product.facets.neck,Turtleneck + Mock Neck
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Boat,Neckline,Boat,tile.product.facets.neck,Boat
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Off-the-Shoulder,Neckline,Off-The-Shoulder,tile.product.facets.neck,Off-the-Shoulder
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Scoop Neck,Neckline,Scoop Neck,tile.product.facets.neck,Scoop Neck
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Plunging,Neckline,Plunging,tile.product.facets.neck,Plunging
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Square Neck,Neckline,Square Neck,tile.product.facets.neck,Square Neck
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Sweetheart,Neckline,Sweetheart,tile.product.facets.neck,Sweetheart
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Half-Zip,Neckline,Half-Zip,tile.product.facets.neck,Half-Zip
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Open,Neckline,Open,tile.product.facets.neck,Open
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=Cowl Neck,Neckline,Cowl Neck,tile.product.facets.neck,Cowl Neck
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Neckline=One Shoulder,Neckline,One Shoulder,tile.product.facets.neck,One Shoulder
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Sleeve=Long Sleeve,Sleeve,Long Sleeve,tile.product.facets.sleeve,Long Sleeve
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Sleeve=Sleeveless,Sleeve,Sleeveless,tile.product.facets.sleeve,Sleeveless
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Sleeve=Short Sleeve,Sleeve,Short Sleeve,tile.product.facets.sleeve,Short Sleeve
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Sleeve=Strapless,Sleeve,Strapless,tile.product.facets.sleeve,Strapless
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Sleeve=3/4 Sleeve,Sleeve,3/4 Sleeve,tile.product.facets.sleeve,3/4 Sleeve
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Cotton,Material,Cotton,tile.product.facets.material,Cotton
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Mesh,Material,Mesh,tile.product.facets.material,Mesh
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Lace,Material,Lace,tile.product.facets.material,Lace
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Flannel,Material,Flannel,tile.product.facets.material,Flannel
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Wool,Material,Wool,tile.product.facets.material,Wool
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Nylon,Material,Nylon,tile.product.facets.material,Nylon
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Denim,Material,Denim,tile.product.facets.material,Denim
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Jersey,Material,Jersey,tile.product.facets.material,Jersey
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Rayon,Material,Rayon,tile.product.facets.material,Rayon
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Seamless,Material,Seamless,tile.product.facets.material,Seamless
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Corduroy,Material,Corduroy,tile.product.facets.material,Corduroy
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Sequin + Shine,Material,Sequin + Shine,tile.product.facets.material,Sequin + Shine
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Modal,Material,Modal,tile.product.facets.material,Modal
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Satin,Material,Satin,tile.product.facets.material,Satin
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Material=Velvet,Material,Velvet,tile.product.facets.material,Velvet
